Year,ALCD,ANMU,BFAL,BLBR,BRCO,BRPE,CAAU,CAGU,CATE,COLO,COMU,DCCO,FTSP,GULL,GWGU,GWHY,HADU,HEEG,HYGU,IMGU,JAEG,LESP,MAMU,NOFU,PAJA,PALO,PECO,PFSH,PHAL,PIGU,POJA,PROC,RBGU,REPH,RHAU,RNPH,RTLO,SAGU,SHOR,SOSH,SPSK,SPSP,SUSC,TERN,TUPU,UNAL,UNDU,UNGO,UNLO,UNSC,UNTE,WEGU,WGGU,WWSC
2003,0.05432197740692903,-0.007985696741408825,-0.09818266474349427,-0.0045490167006368275,0.10100314802008149,-0.05000411788871318,-0.414047588838436,-0.0063383767122861335,-0.10964449200627012,0.007358179960226823,-0.05360243925468566,-0.01471420903818056,-0.05509294555697516,0.008245365208232103,-0.051076942212462305,-0.002271454934707734,-0.001828878097463615,0.05343721922556324,0.013566317413329022,0.6737242761980835,-0.002717390086245101,-0.10675586343396637,0.011749871240497825,-0.0983027415597876,-9.117183379609603e-4,0.03252727863195158,0.1797084373257993,-0.20758380881518657,-0.015802559775236993,0.01966358356658144,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,-0.02443089675343474,-9.050484854671769e-4,-0.003529950629269451,0,0.0082854340494816,0.4761842388483468,0.008138485337615974,-0.002751072424108705,0.0026826212060009832,-9.117183379609603e-4,-0.051691991422523495,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,0.013566317413329022,-9.211284002662383e-4,0.4867919048957903,-0.46021969381286637,-0.03104733980717362
2004,-0.0160243950494783,0.020979551010852672,0.9001307149878494,-0.0045490167006368275,-0.05793173716012341,0.007110955537572357,-0.4278811066519355,-0.0063383767122861335,0.666039425352893,0.007474934793384564,-0.6068515220296571,0.01395426129232729,0.028343911261083418,-0.12213780447462269,-0.06554768078667993,-0.002271454934707734,-0.001828878097463615,-0.016909153230844094,-9.044211608886015e-4,0.43745709641224984,-0.002717390086245101,-0.0636166545292409,-0.0023976937074419637,1.0051937379050664,0.013675775069414404,-0.024140146210560282,-0.029916260890756642,-0.03197510705937834,0.0821050356170392,0.005516018618641653,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,-0.3192450480377834,-9.050484854671769e-4,-0.003529950629269451,0,0.07830882929682273,0.023697421375372674,-0.006332253236601648,-0.002751072424108705,-0.025528650952384678,0.013675775069414404,0.0803254817432289,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,0.5685340660722894,-0.4889547521681815,0.026067733619111917
2005,-0.0160243950494783,-0.007985696741408825,-0.14186427462924261,-0.0045490167006368275,0.24237741590302647,0.0214077954883485,-0.31878404789152565,-0.0063383767122861335,0.13467794746476733,-0.007112558613990801,0.19242277972109179,-0.029184947612398184,-0.033220405175869036,0.4304000699716036,-0.06554768078667993,0.03407182402061601,-0.001828878097463615,-0.016909153230844094,-9.044211608886015e-4,0.31787050031805153,-0.002717390086245101,-0.10675586343396637,-0.016985187114817328,-0.17559994009271496,-9.117183379609603e-4,-0.024140146210560282,-0.01157952625811166,-0.6247312546082101,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,0.1153700617639527,-9.050484854671769e-4,-0.003529950629269451,0,-0.006185304524736024,-0.3156955101222101,-0.006332253236601648,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,0.12108543647344172,-9.211284002662383e-4,-0.008458558727320166,0,0.016291423721071435,-9.044211608886015e-4,-9.211284002662383e-4,0.06786640734890714,-0.4889547521681815,-0.03104733980717362
2006,-0.0160243950494783,-0.007985696741408825,-0.12331026841077625,-0.0045490167006368275,0.11220899852476444,-0.05000411788871318,-0.4004953260719321,-0.0063383767122861335,0.11029226456370436,-0.007112558613990801,-0.3786455747378463,-0.029184947612398184,-0.013212655798927893,0.31910198293154135,0.05705062303283773,-0.002271454934707734,-0.001828878097463615,-0.016909153230844094,-9.044211608886015e-4,-0.2254588140353072,-0.002717390086245101,-0.10675586343396637,-0.016985187114817328,-0.11167491383265399,-9.117183379609603e-4,-0.009751906258028511,-0.029916260890756642,-0.13647810445089403,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,-0.23242441433779643,-9.050484854671769e-4,0.01085828932326232,0,-0.006185304524736024,0.1340301597558642,-0.006332253236601648,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,0.028107546831233135,-9.211284002662383e-4,0.1268783809098025,0,0.012342929040958224,-9.044211608886015e-4,-9.211284002662383e-4,-0.08753778729273876,0.16727111343988343,-0.03104733980717362
2007,-0.0160243950494783,-0.007985696741408825,0.7335587483856759,-0.0045490167006368275,-0.019026245160527706,-0.02289998038789242,-0.3402759814380308,-0.0063383767122861335,0.02280885172113195,-0.007112558613990801,0.20515280602324237,-0.0020808101115774233,0.1731847953285376,-0.024549122748665247,-0.05190378556329642,-0.002271454934707734,-0.001828878097463615,-0.003265258007460581,-9.044211608886015e-4,-0.2254588140353072,-0.002717390086245101,-0.09311196821058286,0.010118950386003432,0.19974446061100917,-9.117183379609603e-4,-0.024140146210560282,-0.029916260890756642,0.05830936166695977,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,0.14563347704000473,-9.050484854671769e-4,0.02357418687155131,0,-0.006185304524736024,0.5050314669603866,-0.006332253236601648,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,0.0462371336423984,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,-0.08828213202188702,0.8751779331071673,0.1096805508235093
2008,-0.0160243950494783,0.0069232889367307066,-0.23757055101752161,-0.0045490167006368275,0.1785452004714484,-0.005927868704425722,-0.3844295160878296,0.008570608965853398,0.4688806118620027,-0.007112558613990801,1.1008739925802584,-0.029184947612398184,-0.06956368413119278,-0.1069300743647579,-0.06554768078667993,-0.002271454934707734,-0.001828878097463615,0.01268980158865721,-9.044211608886015e-4,-0.2254588140353072,-0.002717390086245101,-0.09184687775582684,-0.016985187114817328,-0.18866491445518638,-9.117183379609603e-4,0.03420679280402998,-0.029916260890756642,-0.1525991844990533,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,-0.04516133726514299,-9.050484854671769e-4,-0.003529950629269451,0,-0.006185304524736024,-0.694887061477357,-0.006332253236601648,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,-0.008199237907118753,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,-0.015634508164104763,0.8163197577007505,-0.03104733980717362
2009,-0.0160243950494783,-0.007985696741408825,0.14191555615771756,-0.0045490167006368275,-0.07251923056749877,0.04887275306498861,-0.31841403434630855,0.022923672847131708,0.08484487167333457,-0.007112558613990801,-1.038682438270667,-0.029184947612398184,-0.040301634571774936,0.42348058684204093,0.08572957081165201,-0.002271454934707734,0.027433171461954224,-0.00217109882658428,-9.044211608886015e-4,0.011389998274100227,-0.002717390086245101,0.42258813214618074,-0.016985187114817328,0.7268073803118378,-9.117183379609603e-4,-0.009402091806300469,-0.029916260890756642,0.12710610638973208,-0.015802559775236993,-0.009071474788733712,0.013816926003993575,0.013816926003993575,-0.00448391032569578,-0.010780228195971813,-0.08005612589373251,-9.050484854671769e-4,-0.003529950629269451,0,-0.006185304524736024,0.06225392713381872,0.022929796322816193,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,0.030929490013584526,0.013816926003993575,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,0.013816926003993575,-0.08718797284101071,0.06628562165882024,-0.03104733980717362
2010,-0.0160243950494783,-0.007985696741408825,-0.08619502698251627,-0.0045490167006368275,-0.07251923056749877,-0.03552595191840441,-0.4140259291580819,0.036482048533829,-0.05866995915283413,-0.007112558613990801,0.7630062141413849,-0.014706781642089413,-0.06956368413119278,0.12396890467674046,-0.06554768078667993,-0.002271454934707734,-0.001828878097463615,-0.0024309872605353233,-9.044211608886015e-4,-0.2254588140353072,-0.002717390086245101,-0.10675586343396637,0.03971071944792817,-0.13666272933778595,-9.117183379609603e-4,-0.009661980240251512,-0.015438094920447872,-0.30559964417069124,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,0.15547783339137256,-9.050484854671769e-4,-0.003529950629269451,0,-0.006185304524736024,0.28043214006945183,-0.006332253236601648,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,-0.024109266182380767,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,-0.10192602724527053,0.43398667687840553,0.10508613427233518
2011,-0.001449496349937145,-0.007985696741408825,0.4253687434975034,-0.0045490167006368275,-0.07251923056749877,0.034419547948929465,-0.29457482501981913,-0.0063383767122861335,-0.020904805096774476,-0.007112558613990801,0.13135561977636323,0.06864153009330459,0.2537671465346312,-0.0944382379021628,0.07144199143920864,-0.002271454934707734,-0.001828878097463615,-0.016909153230844094,-9.044211608886015e-4,-0.18235632615079111,0.011857508613296054,0.15069837332051328,0.011955230645963665,-0.036016929164485095,-9.117183379609603e-4,0.0736863314951425,-0.015341362191215487,0.4795204402162411,-0.015802559775236993,-0.009071474788733712,-9.211284002662383e-4,-9.211284002662383e-4,0.0386185775588203,-0.010780228195971813,0.035567220335089744,-9.050484854671769e-4,-0.003529950629269451,0,-0.006185304524736024,-0.9411005042293192,0.03677023464791443,-0.002751072424108705,-0.04011614435976004,-9.117183379609603e-4,-0.02365198151109915,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,-0.10192602724527053,-0.1445953778665976,-0.03104733980717362
2012,0.07070194874396621,-0.007985696741408825,-0.2809306574171532,0.06823525050955241,-0.07251923056749877,0.05047259078507423,0.5716524708544488,-0.0063383767122861335,-0.16129457029543579,-0.007112558613990801,-0.23159424492326863,5.674248624165795e-4,-0.039811311656378016,-0.16527701337934816,0.02117866300676459,-0.002271454934707734,-0.001828878097463615,-0.016909153230844094,-9.044211608886015e-4,-0.05893100797658826,-0.002717390086245101,0.10964111936529958,0.012767185359997435,-0.23202502085481796,-9.117183379609603e-4,0.020162913524685497,-0.029916260890756642,0.3190510093232187,-0.015802559775236993,0.02068089768608105,-9.211284002662383e-4,-9.211284002662383e-4,-0.00448391032569578,-0.010780228195971813,0.12795006269589604,-9.050484854671769e-4,0.011456881985689229,0,-0.006185304524736024,-0.7668737581296523,-0.006332253236601648,0.012235760190849975,-0.04011614435976004,-9.117183379609603e-4,-0.05018769725303874,-9.211284002662383e-4,-0.008458558727320166,0,-0.002045310911573547,-9.044211608886015e-4,-9.211284002662383e-4,-0.029141760035081288,-0.13633392802376565,-0.03104733980717362
